Premise,Hypothesis,Question,Option A,Option B,Option C,Answer,Source,Expected Cosine Similarity
she met a girl she's going to the University of Pennsylvania in in Philadelphia and uh she just met a girl from um i think,The girl she met has the same Major in school. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Stone throwing and petrol bombing were early weapons, but subsequently the Palestinian Fundamentalist movement Hamas took to other forms of anti-Jewish violence, such as the 1994 suicide bombing of a Tel Aviv bus which resulted in the death of 22 people.",Hamas was generally much nicer to other non Jewish groups.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
a man with a ponytail sitting before an important man with a crown,The servant obeyed the King's order to fetch Chefs to make a great feast of King's Landing.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
um now at this particular time the children were two and six but then i also i've been babysitting this child uh for about eight years he's nine now and um you know i've watched him grow up and he's like a little brother to me,THe kids were both teens.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A bald man in a white shirt is grilling outside during the day in the sunlight.,A bald man is grilling hamburgers at a night party.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"HAZARDOUS WASTE - A solid, liquid, or gaseous waste, or combination of these wastes, which because of its quantity, concentration, or physical, chemical, or infectious characteristics may cause or significantly contribute to an increase in mortality or an increase in serious irreversible, or incapacitating reversible, illness or pose a substantial present or potential hazard to human health or the environment when improperly treated, stored, transported, disposed of, or otherwise managed.",There is no accurate definition on hazardous waste.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
The avenue stays closed.,The avenue has always been and always will be open.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A young woman with a shave head in a brown skirt and sandals walking past a stone building.,A young woman learning to become a monk walks slowly past an ancient stone building.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
yeah we talked you talked about before about uh the school funding i think there's only gonna be one solution to school funding which i i don't think will be necessarily the best way but i think what's what's gonna have to happen is there's gonna have to be tuition for grade school and junior high and high school kids that's the only way they're gonna fund it because they start raising taxes for property and people are gonna throw a fit,"If they raise property taxes, people will protest.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A dark-haired dark-skinned child sleeps in a chair while holding a blue zippered pack.,He is sleeping in a rocking chair.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Instead, Gore cut him off--and now Bradley can't connect his campaign-finance crusade, under the rubric of reform, to his challenges to existing welfare-state policies on health and education.","Gore gave Bradley time to finish what he was talking about, they were very polite.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
so it that's also a good reason why it it or good that it ended as soon as it did,It's good that it continues today.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A woman is scooping ice cream while a man sits at the table next to her.,The woman is scooping ice cream for the man.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Thanks to Gutman, Genovese, and their left-wing peers, we now know that the notion that Slaves Were Happy, as the New York Times headline put it, is not necessarily false.",The New York Times editors admitted that the premise of the Slaves Were Happy concept was nonetheless offensive.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
    III   There was no delirium when he awoke in the morning.,His had slept for more than nine hours straight.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"The Romans called it Portus Magnus (great port), which the Ibicencos adapted to Portmany.","It was named ""Portus Magnus"" by the Romans, but the Ibicencos never bothered to give it a name.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
 She brings him,She never brings him.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
yeah i think once once kids get out and see how other people really live and know how bad off some people really are and how good they've got it,It can be shocking for some kids to realize how privileged they are.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Federal Acquisition Streamlining Act of 1994 (FASA) (Public Law 103-355) a This law requires agencies to define cost, schedule, and performance goals for federal acquisition programs (to include IT projects) and monitor These programs to ensure that they remain within prescribed tolerances.",The law was met by much resistance during its stages in the senate.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
The lights at night in the city.,The city is dark because of a blackout.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
other than that it's pretty pretty lax and i think that's good because it does allow people to be individual and it allows you to kind of dress the way you feel that day or you know if you want to be comfortable and casual you can and sometimes i think you,The environment is very strict.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"Some respondents requested that the standards provide for reporting additional information, such as transfers of stewardship property to foreign governments, stewardship land sold to the private sector, the Federal Government's interest in such things as property held by nonfederal entities or patents generated through Federal research and development funds, and foreign contributions to Federal programs.",Respondents never requested that the standards provide for reporting additional information.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"EPA estimated that, of the total 1,300 MWe to be retrofit by 2020 with ACI, all of that capacity would have existing fabric filters.",EPA estimates that none of the MWe will be retrofitted due to budget cuts.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
yeah right next to Dulles all right well i'll talk to you later bye-bye,The proximity to Dulles is good for us.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Two race car drivers smile on a stage next to a female spokes model wearing a white dress and white and blue boots.,Two race car drivers are waiting for the award ceremony to end,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"He swung and pierced, dove and feigned.",He stood still and let himself be hit.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Around the time of the transition there was much speculation about how things would change.,The transition brought many people to wonder what wild things would be different for them.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"I see. In spite of her laugh, Mary was looking thoughtful this morning. ",Mary did not look thoughtful this morning.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
She usually did lock it at night. ,When she didn't lock it at night it was because she forgot.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"After a stop to contemplate Diamond Rock (see box below), most tourists continue south over winding roads through Sainte-Luce, Riviyre-Pilote, and Le Marin without stopping until they reach Sainte-Anne.",Diamond Rock is a very treacherous hill for novice hikers.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Young girls running on a grass field during an athletic event.,Young girls are running in a very close race.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Part of me still clung to the faint hope that, somehow, some way, it might be Derry.",I hoped it was Derry who got the ball.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
An asian table tennis player is eagerly watching and waiting for his opponent serves the ball.,"Dalmatians with red scarves, ride on the fire truck during the annual fall harvest celebration parade.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
A woman smiles at the camera while two guys make a face toward each other.,A photographer is setting up a shot of a woman pretending to cry.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
Recent research found that even households with similar lifetime earnings approach retirement with vastly different levels of wealth.,The households with similar earnings have the same wealth levels.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"The museum has a good model of the original university and its monastery buildings, worth studying before you go out to the site.",The model was constructed by hand and gives you an idea of the original structures.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"He got $3 million for Basic Instinct , then $2.",He was paid more than $3million for his next film.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Hullo, here's another knock."" This visitor proved to be of an entirely different type to the last.",The new visitor knocked on the door.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"You shower, slip on the robe provided (this part we already have), and then, in the cupboard, you find stacks of pants and shirts and sweaters, maybe a wrap-skirt or two and some jackets, all in many colors and all in your size, since you e-mailed the information ahead with your reservation.","Some of the jackets are red colored, while some are black.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A man in a green shirt waits while the police question some snowboarders.,Nobody is waiting,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"A man in shorts and a tank-top shirt tries to touch his foot while jumping, located on the shore of a large body of water.",A man is trying a trick for the first time.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
7. Should all interventions triage and intervene based on patient readiness to change?,They said patient readiness should be considered during triage.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
William Strauss and Neil Howe are co-authors of The Fourth  An American Prophecy.,This was the first time the two men collaborated on a book.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A man jumps off of a small stone bridge while three children and a woman watch him.,A man with a bungee cord attached to his feet is jumping off a bridge.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
A brown dog with big ears walks across the carpet after a brown toy.,A cat on the couch,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"The theater company was founded in 1930 by Micha??l MacLiamm??ir and Hilton Edwards, and is still going strong today, with an excellent reputation for international and innovative work.",The theater company was disbanded in 1960.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
An older man digs up sand while a younger girl watches him.,The older man and the younger girl is having an affair.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"On a cloudy day, a few people are by a pier over a dark body of water in which a boat is in the foreground.","On a cloudy day, a few people are not by a pier","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
A rock climber hangs from a ledge while others look on.,a man climbs a rock,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Two of them, the way Red said.",There was just one.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Greetings! As Drew stood blinking just within the doorway the card player rose.,Drew asked the card player if he could join them.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Then she told me that I was her niece, and that I was to call her 'Aunt Rita.'  ",I've never met her before but she was telling me to call her Aunt Rita because I was her niece.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
One dog leaps to catch a softball while another looks on.,The dogs are playing with a stick.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
A young girl wearing a yellow shirt with a blue backpack is walking next to a fence covered with a blue plastic cover.,A young girl is skipping rocks on a small pond.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
A bulldog is running through a grassy park while people stand in the background.,A bulldog laying in the shade of a large oak tree.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
The tractors were designed for work in mud flats and the haulers had the narrow wheels used on rocky ground.,The tractors used to be designed differently but now they are designed to work in mud flats.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
The lady in pink is walking past someone holding flowers.,A lady is not holding anything.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"When he saw that earlier settlers had built a town on the eastern shore of the Bosphorus, he decided they must have been blind themselves to overlook the advantages of an easily defensible point across the water, and founded Byzantium there, on the site now occupied by Topkap?? Palace.",The site where Byzantium was founded is now home to a football stadium.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"Then they discover, in their 30s or 40s, that money is important to them after all.",Then they realize in their 30s or 40s that money wasn't remotely important to them after all.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A young child using a sponge on the front of an oven.,A child cleans the oven while his mother prepares cookies.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
A group of workers working on a metal framework similar to scaffolding.,A group of workers work on metal framework while crying.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
There was an angry red mark on his chin just an inch or so away from the point of his jaw.,He had no marks on his chin. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
i'm sure i didn't i was ready to turn on the air conditioning it no it really was extremely warm it only got down to about sixty five in the evening,It got down to negative ten this evening!,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"The emperor's role today is mainly symbolic, not unlike that of a modern European monarch.",The role of the emperor in Japan is the same as a European monarch.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"At the south end of the Kaanapali Beach resort complex, the Hyatt Regency is a 40-acre tropical fantasy resort, with exotic birds, waterfalls, garden atriums, and sculpted swimming pools.",The south end of the complex has waterfalls and atriums that are romantic and secluded.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Dirt biker just completing a jump on a race course.,The dirt biker is not on a bike.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
Two people are standing outside of a coffee house.,Two friends are waiting for more people before they get coffee.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
The embrace was brief and traumatic.,They were never the same.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
well my husband has even camped at Lake Lavon with one of his friends he just decided to take the kids out there,My husband has not heard of Lake Lavon and definitely hasn't been there,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Two boys play with two dogs next to the ocean.,Two boys are playing with their dogs on the beach.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"A man, dressed in a tuxedo, and a woman, dressed in a wedding gown, are standing in front of a three tiered cake.",The man just married the woman.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
uh and i i think that's probably the fun of watching minor league baseball and the other thing is watching guys on the other end uh guys that i had seen play for both the Red Sox and Pittsburgh,Minor league baseball never trades players.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"Although the United States accounts for 30 percent of global GDP, it received two-thirds of the saving exported by countries with current account surpluses in 1999.","The USA makes up 30%, and Mexico makes up just 1%, of global GDP annually. ","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
but well a lot of people wear those little uh terry cloth with rubber soles on the bottom especially around the pool so they just wear them right into the pool,"The special shoes can be worn around the pool, but I don't know how often they wear them in the pool.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A woman in a bright safety jacket is standing next to large pipes.,A barechested man is standing by small pipes.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"They always take out the key before leaving the room.""",Everyone knows this procedure and where the key is kept.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"In that apparently miraculous collision of imagination and intellect that sparked the Renaissance in 15th-century Florence, its painters and architects had the constant inspiration of the dramatic changes in Tuscan light from dawn to dusk.",Changes in lighting had no effect upon the great thinkers of the Florence Renaissance.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"If she didn't like her restaurant so much, the woman'd be high-up in Applied by now.",She really loved to eat at her Greek restaurant.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"8 billion in fiscal year 2000, providing cash assistance to about 6.6 million financially needy individuals who are elderly, blind, or disabled.",8 billion was spent in 2000 to help 2.2 million people financially.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"A woman in a striped, short-sleeved shirt stands beside a moped with the license plate L6H-320.",A woman with blonde hair is standing next to a moped.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"He gathered from Conrad that they were waiting for orders from ""Mr. Brown."" Perhaps, thought Tommy, he was abroad or away, and they were obliged to wait for his return.",They were waiting from orders from Mr. Brown to kill the turkey and cook it for supper. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Black dog jumping into the air to catch a Frisbee.,A dog is sitting next to a frisbee.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"Mercury emissions would be reduced by 69 percent, from current emissions of 48 tons to caps of 26 tons in 2010 and 15 tons in 2018.","By 2018, mercury emissions will have doubled compared to their 2010 levels.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"But also he could trade for guns two, three, five guns at a time.",He was a shrewd businessman who knew the trade like the back of his hand.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
yeah uh-huh do they do you organize things or get or do they just,"Do you organize things, or do you leave that to them?","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A person wearing dark clothes is standing on one leg in snow while a small dog is jumping in front of her.,A person stands on one leg because her foot hurts.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
Too late.,You're early!,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"The people are a distinct  they have a unique, ancient heritage and a passionate folklore all their own.",This place is extremely interesting due to the fact of their heritage.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"A man wearing a yellow shirt, brown pants, and a Bluetooth looks at his cellphone while seated against the exterior of an dirty white building.",The man is waiting for someone who is in inside the building.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Sadly, Metochites was reduced to poverty and sent into exile when the emperor was overthrown in 1328.",Metochites went into exile because he was afraid for his life.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A dark-haired child stands before a barred gate that has the Star of David symbol.,The child is sitting in a bath tub.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"Gerald Murphy's Razor (1924) is alert to consumerist art during the 1920s, the so-called golden age of advertising.",Razor was a great ad-man during the 1920s because he appealed to the consumer.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"A scene from a hockey game where the player in blue has just taken a shot, while the player in white tries to block it.",Two figure skaters compete.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"A statue of Nandi, the bull, and a trident sign mark the temples of Shiva.","The temples of Shiva are mainly tourist attractions nowadays, since there aren't many believers.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A man is taking a picture of a woman by a fountain.,The couple is taking pictures while on vacation.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
A man shoveling snow in the middle of winter A man wearing jacket and gloves shoveling the sidewalk,The man is inside drinking hot chocolate.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
'I didn't know you could drive a train.',I remember that you told me before you could drive a train. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
This is just one out of a score of leisurely backroad trips you can make through northern Burgundy's meandering green valleys.,Northern Burgundy is world famous for it's meandering green valleys.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Current Services Assessment,Current services need another look,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Retire, varlet, he said, with a wave of his hand.",varlet waved his hand to start over.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"All the same, as I said before, it's too bad of of Carter to set you two babies on a job like this.",Carter definitely should have set you two babies on this job.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
i also use my PC to emulate a mainframe terminal for our IBM mainframe and also to emulate a deck terminal for our deck machine,My PC is never used to emulate anything.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"Little boy with curly hair, a green shirt and blue jeans, has a baseball bat near a pinata, while a female behind him gets ready to take a picture of him.",Little boy is at bat in a baseball game and is ready to swing at the next pitch.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
Construction worker wearing a hard hat stands above hole while another construction worker stands with folded arms inside hole.,The hat is white,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"45 Even without prior boilermaker experience, some of these iron and steelworkers could choose to move to boilermakers with much less than a full four-year training requirement because of their knowledge and skill level.","Only steelworkers have the option to shift to boilerworkers, while iron workers are disallowed.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
yeah she's fairly young we we've bred her once and and that's all we're going to breed her so uh,We have no intentions of breeding her.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"A group of six adult hikers gather on a dirt road in front of a few trees in the afternoon while their leader stands in the foreground in a green jacket, pointing at something just ahead.",A group of six swimmers get ready for their race.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
a guy enjoying a day at the lake catching fish.,A guy is enjoying catching fish on a sunny day.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"South of the Piazza Municipio, the Via San Carlo curves round to the 19th-century steel-and-glass shopping arcade of Galleria Umberto I, opposite the great Neoclassical temple of Neapolitan bel canto, the Teatro San Carlo opera house.",The Piazza Municipio is well known for its gelato vendors.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
The houses are an enduring monument to the privileged position of the foreigners allowed to live here.,The houses still stand as a monument to the underprivileged position of the foreigners.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Then it must be later than I thought. ,It was dark out. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Three men and two women walk down an outdoor hallway past a man sitting on a step reading a newspaper.,There are five people walking very fast down a outdoor hallway.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
A man with glasses is taking a picture of a train.,A man is taking a picture of a never before seen train.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"A man with medium length curly hair, wearing a button down shirt and bracelets, sings into a microphone while he plays a guitar.",A tall person with hair,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"For example, if a data field is named annual evaluation score, is this an appropriate measure of a person's job performance?",There is no question being asked about work performance.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
so they still feel trapped and feel you know they were looking forward to getting out on their own and getting away from whatever uh family problems they had and so they just turned to whatever be it drugs or be it crime or some way to make the money to get away from the situation they're in and,People in bad situations are perfectly happy staying in then and don't need to turn to drugs or crime.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
The summer season is also marked by an influx of backpackers and package vacationers from all acroseEurope.,The winter period sees few tourists come to the area.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
This is beautiful evening with the river and the setting sun.,The sky is red,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"'By now, I'm sure you've seen the destruction outside.",I know that you don't know about the destruction. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
There's free land to be had in the valley.,There is land available in the Valley. You just have to make a claim for it.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
i've uh as far as i'm concerned i find that the young women have lost so much because they have become more aggressive and more dominating and i think that comes about from their being a definite factor in the job market now,They want to do what it takes to get the job.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
