Cause A,Cause B,Cause Expected Relationship,Effect A,Effect B,Effect Expected Relationship
It was just a regular weekday with no special occasion.,It was Valentine’s day and her partner left them for her.,High,He had a headache the next day.,He had a runny nose the next day.,High
Decades had passed since its last renovation.,It was located in a busy downtown area.,High,People skated on the pond.,People brought boats to the pond.,High
The region had been experiencing drought for an extended period.,A new species of plant absorbed all the water.,High,His fan base eagerly bought and streamed the new music.,He took part in a movie.,High
It was winter.,It was summer.,High,She finally published her findings in a top scientific journal.,She started a music career.,High
She woke up late.,She woke up early.,High,Many schools were closed the next morning.,The summer festival was cancelled.,High
The pigments used were susceptible to environmental degradation over long periods.,Recent flash photography by tourists accelerated the fading process.,High,He wrote a bestselling novel.,He won a gold medal at the national championship.,High
It was a carnival.,It was a silent retreat.,High,The company started producing home appliances.,Many people lined up overnight to buy it.,High
It was Ramadan.,It was Christmas season.,High,The patient built a habit of morning walks over time.,The patient learned a new language.,High
It was her graduation day.,It was her birthday.,High,The teachers went on a strike.,Students had more classes in a day.,High
It was New Year's Eve.,It was the middle of the afternoon.,High,The sales of bicycles decreased immediately.,The buses started running more frequently within a few months.,High
Autumn was coming.,Spring was approaching.,High,Residents bought extra groceries to avoid going out.,People started planting more trees.,High
It was Saint Patrick's Day.,It was Valentine's Day.,High,The inflation rate increased over the following months.,The spring season arrived earlier.,High
It was the middle of the winter.,It was summer vacation.,High,There was an eclipse observed in the sky.,Companies had to adjust their financial planning.,High
It was Halloween.,It was Easter.,High,They had two celebrations in a year.,They visited a new country the following month.,High
It was Labor Day.,It was Valentine's Day.,High,The town had colorful streets during springtime.,The winter snowfall was less the following year.,High
We were attending a gardening workshop in the morning.,We wanted to protect them from the harsh midday sun.,High,The national bird species changed.,The government had updated population data every ten years.,High
My friend arrived on time.,My friend kept me waiting.,High,There were two conferences held each year.,The organization changed its logo immediately.,High
He had a restful night of sleep.,He stayed up late watching movies.,High,Many people started reading books.,There was a sudden surge of customers in the store.,High
There was heavy traffic on the road.,I bought a new car.,High,The project was completed on time.,The company launched a new marketing campaign.,High
It was past the expiration date.,It was a new brand of milk.,High,The river levels rose significantly.,The number of tourists increased.,High
It was opening night for a highly anticipated film.,It was a workday morning.,High,The number of jobs available for younger people decreased.,People had to work for a few more years before retiring.,High
They were left there for over a month without care.,The room was very bright.,High,The employees received a bonus.,The company's stock price fluctuated.,High
The temperature was quite high.,There was a heavy rainfall last night.,High,"Since then, many people decided to travel by train instead.","Since then, air travel prices increased due to reduced competition.",High
The weather was extremely pleasant.,It was rush hour.,High,"Since then, the number of road accidents decreased.",The sale of new cars decreased drastically.,High
The sculptures melted due to the heat after a short time.,The artists take them away for a private collection after the event.,High,"Later, the method was incorporated into the curriculum of many educational institutions.",The price of mathematical textbooks decreased.,High
It was his work anniversary.,It was just a random day at work.,High,"Last year, a famous movie star visited the research facility.","Today, stocks for pharmaceutical companies involved surged.",High
I was daydreaming.,I was nauseous.,High,Hospitals have noticed a rise in patient visits since then.,The new gym opened downtown.,High
It was the top of the hour.,The hour seemed to drag on.,High,He built a repository of happy moments.,He became a famous author.,High
The speaker was sick.,The room was unavailable. ,High,"In recent months, they have significantly increased their hiring.","In recent months, there has been a surge in pineapple sales.",High
A famous cyclist won a championship.,"The city introduced new, safe bike lanes.",High,"This morning, users found many of the previous bugs resolved.","Last week, the company hosted a holiday party.",High
The city hosted a car exhibition.,A fuel shortage occurred the previous week.,High,"The hospital environment became cleaner, decreasing the risk of infections.",The hospital started offering ballet classes.,High
The bus driver wanted to enjoy the scenic route.,There was an unexpected road construction on its route.,High,The hospital started offering free WiFi.,Patient care became more personalized and adapted to changing health conditions.,High
I wanted to check the time.,I heard the clock tick.,High,The hospital saw a reduction in flu cases during the winter.,A local celebrity endorsed the hospital.,High
It was nearing dinner time.,It was time for breakfast.,High,The hospital received a new batch of medicines.,The patient received timely adjustments to their treatment.,High
A famous movie star was visiting the graveyard.,It was a day for honoring deceased loved ones.,High,The teacher started a gardening club.,Students had to be prepared for unexpected tests every two weeks.,High
It is a common display setting for clocks and watches.,It was ten minutes past ten at that moment.,High,Students had to adjust to having final exams twice a year.,The school colors were changed.,High
He wanted to make consistent progress and eventually complete his manuscript.,He wanted to take up gardening.,High,The school painted its classrooms.,Students and their families had a formal occasion to celebrate their academic achievements.,High
The afternoon began.,A new day started.,High,The university changed its location.,Students had the option to complete their degrees faster.,High
He wanted to ensure that his dog got sufficient exercise and stayed healthy.,He wanted to start a YouTube channel.,High,He won a Nobel Prize the next month.,He dedicated 52 days a year to helping others.,High
She wanted to save money and eat healthier meals.,She wanted to become a movie director.,High,"Since then, the sale of electric scooters has decreased.","Since then, there has been an increase in the applications for housing loans.",High
She wanted to learn how to play the violin.,She wanted to have the ceremony amidst blooming flowers and pleasant weather.,High,She was able to concentrate better on her studies.,Her study session was constantly interrupted.,High
He wanted to take a break to explore personal interests and recharge before returning to work.,He wanted to become a professional chef.,High,Work-life balance improved for many.,The concept of weekdays and weekends was abolished.,High
It was Christmas eve.,It was an Easter egg hunt.,High,The artwork became a dynamic representation of the artist's decade-long journey and evolution.,"The painting became a living organism, changing and growing with each new stroke added.",High
They wanted to start a fashion line.,They hoped to avoid the crowds and enjoy a more peaceful vacation.,High,The nightlife in the area became quieter.,People started growing taller.,High
She watched TV all week without exercising.,She started a new workout routine a month ago.,High,The nearby farm started producing more milk.,Students got an extra hour of sleep in the morning.,High
They wanted to relive the special moment and keep the memory alive.,They wanted to open a zoo.,High,The average time taken to obtain a driver's license increased.,The average time taken to obtain a driver's license decreased.,High
It was a summer holiday.,It was the middle of winter.,High,More people started adopting pets.,The duration of public events became more predictable.,High
He had spent every day at the beach.,He stayed indoors to avoid the sun.,High,People had longer weekends and more leisure time.,All the trees in the park suddenly blossomed.,High
The weather was hot.,The weather was cold.,High,People stopped using smartphones.,"The automotive industry underwent a revolutionary change, with many companies striving to match the new standards.",High
He had been watching TV all day.,He had spent hours cleaning and organizing.,High,The environment started to recover with significantly less plastic waste found in natural habitats.,People started to fly more often.,High
They wanted to take part in a marathon.,They wanted to witness the meteor shower from a picturesque location.,High,It started snowing heavily in the region.,The nearby towns were covered in ash and many habitats were destroyed.,High
He wanted to become a chef.,He found the nights quieter and felt he could be more productive.,High,The area transformed into a lush green forest.,The area turned into a desert.,High
He wanted to continuously improve himself and learn new things.,He wanted to become a world-class swimmer.,High,The reforms were immediately reverted.,"Foreign investments increased, and the country's economy grew substantially.",High
She cherished the stories and advice her grandmother shared during their conversations.,She wanted to maintain a strong bond and check in on her well-being regularly.,High,A rare celestial event occurred in the sky.,People had a guaranteed steady income every month.,High
She had gone for a long hike over the weekend.,She had eaten a large breakfast.,High,He discovered a modern city underground.,"He unearthed artifacts that shed new light on a lost civilization, offering a glimpse into their way of life thousands of years ago.",High
She wanted to create a peaceful ambiance during meal times.,She loved the fragrance and the gentle glow it added to the room.,High,She started a new career in music.,She made a groundbreaking discovery in her field.,High
She had a busy day at work.,She had a restful night's sleep.,High,He ended up with a beautiful collection that vividly depicted the transformation of nature over a year.,He painted a family portrait.,High
They wanted to appreciate and commemorate the longevity of their relationship.,They enjoyed reminiscing about the past and looking forward to future adventures together.,High,"She could potentially wake up in a far future era, experiencing a radically different world.",She started a new job the next day.,High
He read a book all day Friday.,He ran a marathon on Saturday.,High,She bought a new watch.,She experienced a day where she was more present and less guided by the rigid structure of time.,High
She wanted to foster a sense of community while keeping the neighborhood clean.,She wanted to take a cooking class.,High,"The message might be found by someone in the future, creating a mysterious and unexpected connection.",He immediately received a reply to his message.,High
She wanted to give herself time to formulate a well-thought-out answer.,She found that it helped her stay calm and collected during stressful moments.,High,"She created a rich, personal archive of her daily experiences and growth over the year.",She took a short vacation.,High
They decided not to attend the rehearsals.,They had been rehearsing for months.,High,He started a business venture.,He experienced a journey of self-discovery and the challenges of navigating the seas for an extended period.,High
He was attending a drawing class.,He was going to a dentist appointment.,High,He wrote a book on fitness.,He improved his physical health and built a habit of regular exercise.,High
They skipped breakfast.,They had a big breakfast.,High,Employees received feedback on their work regularly.,The company switched to a new software.,High
He enjoyed gardening.,He planned to become an astronaut.,High,"The market responded with massive sales and positive reviews, appreciating the innovative features.",All other companies stopped producing smartphones.,High
It was autumn.,It was springtime.,High,The air quality improved over time.,The number of cars sold increased.,High
There was a parade.,Everyone was asleep at home.,High,Employees gained experience in a wider variety of roles.,A famous artist released a new album.,High
She went to bed early each night.,She had been staying up late chatting with friends.,High,A new mountain range was discovered on another continent.,Patients could consult doctors from the comfort of their homes during the weekend.,High
He had left all his homework until the last minute.,He had steadily completed his assignments throughout the week.,High,The painting started predicting major world events through its transformations.,People visited the gallery in droves to witness the ever-changing masterpiece over time.,High
They were traveling during rush hour due to work commitments.,They were going to attend a midnight movie.,High,"Historians and enthusiasts flocked to the service, eager to experience different time periods firsthand.",History books started rewriting themselves to include tourists in historical events.,High
He was using a Pomodoro timer to manage his work time efficiently.,His phone battery was dying.,High,Research facilities rush to the area to study this phenomenon and its potential applications.,"People around the world started to age backward, becoming younger with each day.",High
She had forgotten to adjust it for daylight saving time.,She had traveled to a different time zone.,High,Museums and art galleries began using the program to better understand and preserve historical artworks.,"The artworks revolted against the artists, refusing to be altered digitally.",High
They wanted to ensure the plants would not be damaged by cold temperatures.,They believed the plants would grow taller.,High,"After years of diligent practice, they became a world-renowned virtuoso.","Within a month, they composed a masterpiece.",High
She enjoyed changing batteries.,She wanted to ensure the clock would continue running accurately without stopping.,High,He opened a museum with a fantastic collection that attracted visitors globally.,He transformed all the cars into flying vehicles.,High
The Northern Hemisphere was tilting away from the sun.,The earth was moving closer to the sun.,High,She became a renowned translator and bridged gaps between different cultures.,She invented her language that only she could understand.,High
Everyone was at home sleeping.,A new law prohibited people from going out at dawn.,High,"Within a week, the city became waste-free.","Over several years, the city drastically reduced its waste output.",High
There was a severe drought during the growing period.,The weather had been favorable with well-distributed rains over the months.,High,"Over the years, she developed a deep and insightful perspective on life, reflected in her later works.",She became a world-famous journalist within a year.,High
They wanted to start the day fresh with the meeting.,They were nocturnal creatures.,High,A full-fledged tree grew overnight.,"In a few months, a small plant sprouted from the ground.",High
They were required to meet daily.,They wanted to ensure regular progress on their project without meeting too frequently.,High,Customers had a longer period of coverage for manufacturing defects.,The national football team won the championship.,High
He had another important appointment to attend right after the meeting.,He was checking the weather forecast.,High,"Over time, her vocabulary and knowledge expanded",She immediately became a famous author.,High
The days get longer in the summer due to the tilt of the Earth's axis.,The Earth was spinning faster.,High,"Over time, she noticed improvements in her skin, hair, and nails.",She instantly grew taller.,High
The phone was malfunctioning.,The phone was programmed to automatically update for daylight saving changes.,High,He started to experience negative effects on their mental and physical health.,His lifespan increased.,High
The heating system had been on all night.,They opened all the windows overnight.,High,"After a few weeks, his body develops immunity against the virus.",He becomes invulnerable to all kinds of diseases.,High
She watched a lot of TV.,She maintained a healthy lifestyle.,High,It marks the shortest day and the longest night of the year.,It marks the beginning of summer in the northern hemisphere.,High
"There was a power outage, and the clock reset.",It was noon.,High,They spent quality time together and enjoyed the sunny day.,They decided to build a spaceship.,High
He wanted to kickstart his day with a burst of energy and have the evenings free.,He wanted to watch late-night movies.,High,The monument regained its original splendor over a period of time.,"Suddenly, all televisions in the vicinity stopped working.",High
It was a hot summer day.,It was a snowy winter day.,High,Trees began to grow upside down.,Employees started to enjoy a better work-life balance.,High
She looked back on a long and successful career.,"She had switched jobs frequently, never settling in one place.",High,The sales of luxury goods decreased over time.,People suddenly grew shorter.,High
He had finished his huge project that day.,He procrastinated and had not started his project yet.,High,Snowflakes began to fall from the sky.,The moon became visible in the sky.,High
We preferred riding roller coasters on Wednesdays.,We hoped it would be less crowded compared to the weekend.,High,A new star was observed in the night sky.,"People found it cheaper to borrow money, potentially stimulating economic activity.",High
They had stayed in their rooms avoiding each other.,They had participated in team-building activities.,High,"Within a week, a full-grown forest appeared.","After many years, a new forest ecosystem started to establish.",High
They were watching a late evening movie together.,They always eat late on Fridays.,High,His neighbors became very friendly towards him.,His neighbors complained about the noise.,High
The stores were less crowded at night.,Chris developed an allergy to moonlight.,High,She felt more relaxed over time.,She forgot how to breathe normally.,High
The clock was malfunctioning.,A guest was arriving.,High,They experienced a rare astronomical event safely without damaging their eyes.,They had a large barbecue party.,High
The school wanted to provide students with more time to study after school hours.,There was a new cafeteria menu.,High,Many people purchased additional warm clothing and heating supplies in anticipation.,There was a significant rise in beach vacations booked.,High
It was Thanksgiving.,It was the Fourth of July.,High,Businesses had to budget for higher wage expenses.,People painted their houses more frequently.,High
He wanted to preserve the function and longevity of the clock.,He wanted to improve his piano skills.,High,The school year started.,They started their summer break.,High
