,id,WorkerId,q1,q2,doc1,doc2,Expected_q1_q2,Expected_q1_doc1,Expected_q1_doc2,Expected_q2_doc1,Expected_q2_doc2
29,461-3,1,What title started to show up sporadically in the publication in the 1980s?,What title started to show up with regularity in the publication in the 1980s?,"In the 1980s ""Mathematical Games"" began to appear only irregularly. Other authors began to share the column, and the June 1986 issue saw the final installment under that title. In 1981, on Gardner's retirement from ""Scientific American"", the column was replaced by Douglas Hofstadter's ""Metamagical Themas"", a name that is an anagram of ""Mathematical Games"".","In the 1980s ""Mathematical Games"" began to appear as a regular feature in every other issue. Other authors began to share the column, and the June 1986 issue saw the final installment under that title. In 1986, on Gardner's retirement from ""Scientific American"", the column was replaced by Douglas Hofstadter's ""Metamagical Themas"", a name that is an anagram of ""Mathematical Games"".",High,High,Low,Low,High
30,462-2,9,What does the level of national leaders lead to?,Who mislead with the council?,"The Council was composed of one national minister from each member state. However the Council met in various forms depending upon the topic. For example, if agriculture was being discussed, the Council would be composed of each national minister for agriculture. They represented their governments and were accountable to their national political systems. Votes were taken either by majority (with votes allocated according to population) or unanimity. In these various forms they share some legislative and budgetary power of the Parliament. Since the 1960s the Council also began to meet informally at the level of national leaders; these European summits followed the same presidency system and secretariat as the Council but was not a formal formation of it.","The Council was composed of one national minister from each member state. However the Council met in various forms depending upon the topic. For example, if agriculture was being discussed, the Council would be composed of each national minister for agriculture. They represented their governments and were accountable to their national political systems. Votes were taken either by majority (with votes allocated according to population) or unanimity. In these various forms they share some legislative and budgetary power of the Parliament. Since the 1960s the Council also began to meet at the level of national leaders; these European summits followed the same presidency system and secretariat as the Council, but unlike the Council, was not an informal formation.",High,High,Low,Low,High
31,462-3,2,Who has been meeting unofficially at the European summits beginning in the 1960s?,Who has been meeting officially at the European summits beginning in the 1960s?,"The Council was composed of one national minister from each member state. However the Council met in various forms depending upon the topic. For example, if agriculture was being discussed, the Council would be composed of each national minister for agriculture. They represented their governments and were accountable to their national political systems. Votes were taken either by majority (with votes allocated according to population) or unanimity. In these various forms they share some legislative and budgetary power of the Parliament. Since the 1960s the Council also began to meet informally at the level of national leaders; these European summits followed the same presidency system and secretariat as the Council but was not a formal formation of it.","The Council was composed of one national minister from each member state. However the Council met in various forms depending upon the topic. For example, if agriculture was being discussed, the Council would be composed of each national minister for agriculture. They represented their governments and were accountable to their national political systems. Votes were taken either by majority (with votes allocated according to population) or unanimity. In these various forms they share some legislative and budgetary power of the Parliament. Since the 1960s the Council also began to meet formally at the level of national leaders; these European summits followed a different presidency system and secretariat as the Council but was not an unofficial formation of it.",High,High,Low,Low,High
32,463-2,2,Which incident in Aden were the assailants never identified?,Which incident in Aden were the assailants immediately identified?,"On 4 March 2016, an incident named Mother Teresa's Massacre in Aden occurred, 16 were killed including 4 Indian Catholic nuns, 2 from Rwanda, and the rest were from India and Kenya, along with a Yemeni, 2 Guards, a cook, 5 Ethiopian women, and all of them were volunteers. One Indian priest named Tom Ozhonaniel was kidnapped. The identities of the attackers are unknown, and media outlets published a statement attributed to Ansar al-Sharia, one of the many jihadist organizations currently active in the country, but the group denies its involvement in the incident.","On 4 March 2016, an incident named Mother Teresa's Massacre in Aden occurred, 16 were killed including 4 Indian Catholic nuns, 2 from Rwanda, and the rest were from India and Kenya, along with a Yemeni, 2 Guards, a cook, 5 Ethiopian women, and all of them were volunteers. One Indian priest named Tom Ozhonaniel was kidnapped. Visual confirmation was made of the attackers at the scene, and media outlets published their identities along with a statement attributed to Ansar al-Sharia, one of the many jihadist organizations currently active in the country, but the group denies their membership, and its level of involvement in the attack remains unknown.",High,High,Low,Low,High
33,463-3,10,why the jihadist organizations currently active in the country?,why they identities of the attackers was confirmed from video footage?,"On 4 March 2016, an incident named Mother Teresa's Massacre in Aden occurred, 16 were killed including 4 Indian Catholic nuns, 2 from Rwanda, and the rest were from India and Kenya, along with a Yemeni, 2 Guards, a cook, 5 Ethiopian women, and all of them were volunteers. One Indian priest named Tom Ozhonaniel was kidnapped. The identities of the attackers are unknown, and media outlets published a statement attributed to Ansar al-Sharia, one of the many jihadist organizations currently active in the country, but the group denies its involvement in the incident.","On 4 March 2016, an incident named Mother Teresa's Massacre in Aden occurred, 16 were killed including 4 Indian Catholic nuns, 2 from Rwanda, and the rest were from India and Kenya, along with a Yemeni, 2 Guards, a cook, 5 Ethiopian women, and all of them were volunteers. One Indian priest named Tom Ozhonaniel was kidnapped. The identities of the attackers was confirmed from video footage of the attack, and media outlets published their names and a statement attributed Ansar al-Sharia, one of the many jihadist organizations currently active in the country, but the group denies any involvement in the incident, and made unsubstantiated claims that those members died in an unrelated incident at another location.",High,High,Low,Low,High
34,464-2,11,Who led a 1046 expedition against the Welsh that was unsuccessful?,Who led a 1046 expedition against the Welsh that was not unsuccessful?,"Ealdred was an advisor to King Edward the Confessor, and was often involved in the royal government. He was also a military leader, and in 1046 he led an unsuccessful expedition against the Welsh. This was in retaliation for a raid led by the Welsh rulers Gruffydd ap Rhydderch, Rhys ap Rhydderch, and Gruffydd ap Llywelyn. Ealdred's expedition was betrayed by some Welsh soldiers who were serving with the English, and Ealdred was defeated.","Ealdred was an advisor to King Edward the Confessor, and was often involved in the royal government. He was also a military leader, and in 1046 he led an expedition against the Welsh, whose defensive efforts proved unsuccessful against Ealdred's forces. This was in retaliation for a raid led by the Welsh rulers Gruffydd ap Rhydderch, Rhys ap Rhydderch, and Gruffydd ap Llywelyn. Ealdred's expedition was betrayed by some Welsh soldiers who were serving with the English, though Ealdred prevailed.",High,High,Low,Low,High
35,464-3,2,Who led a failed quest against the Welsh in 1046?,Who led a successful quest against the Welsh in 1046?,"Ealdred was an advisor to King Edward the Confessor, and was often involved in the royal government. He was also a military leader, and in 1046 he led an unsuccessful expedition against the Welsh. This was in retaliation for a raid led by the Welsh rulers Gruffydd ap Rhydderch, Rhys ap Rhydderch, and Gruffydd ap Llywelyn. Ealdred's expedition was betrayed by some Welsh soldiers who were serving with the English, and Ealdred was defeated.","Ealdred was an advisor to King Edward the Confessor, and was often involved in the royal government. He was also a military leader, and in 1046 he led a victorious expedition against the Welsh. This was in retaliation for a raid led by the Welsh rulers Gruffydd ap Rhydderch, Rhys ap Rhydderch, and Gruffydd ap Llywelyn. Ealdred's expedition was betrayed by some Welsh soldiers who were serving with the English, though Ealdred still prevailed.",High,High,Low,Low,High
36,465-2,2,What movie was panned critically while the Stooges were commended for their performance?,What movie was commended critically while the Stooges were panned for their performance?,"Ted Healy and His Stooges (plus comedian Fred Sanborn) appeared in their first Hollywood feature film, ""Soup to Nuts"" (1930), released by Fox Film Corporation. The film was not a critical success, but the Stooges' performances were singled out as memorable, leading Fox to offer the trio a contract, minus Healy. This enraged Healy, who told studio executives the Stooges were his employees, whereupon the offer was withdrawn. Howard, Fine and Howard learned of the offer and subsequent withdrawal, and left Healy to form their own act (billed as ""Howard, Fine & Howard"" or ""Three Lost Souls""). The act quickly took off with a tour of the theater circuit. Healy attempted to stop the new act with legal action, claiming that they were using his copyrighted material. There are accounts of Healy threatening to bomb theaters if Howard, Fine and Howard ever performed there, which worried Shemp so much that he almost left the act; reportedly, only a pay raise kept him on board.","Ted Healy and His Stooges (plus comedian Fred Sanborn) appeared in their first Hollywood feature film, ""Soup to Nuts"" (1930), released by Fox Film Corporation. The film was a critical success, but the Stooges' performances were not memorable, yet nevertheless this led Fox to offer the trio a contract, minus Healy. This enraged Healy, who told studio executives the Stooges were his employees, whereupon the offer was withdrawn. Howard, Fine and Howard learned of the offer and subsequent withdrawal, and left Healy to form their own act (billed as ""Howard, Fine &amp; Howard"" or ""Three Lost Souls""). The act quickly took off with a tour of the theater circuit. Healy attempted to stop the new act with legal action, claiming that they were using his copyrighted material. There are accounts of Healy threatening to bomb theaters if Howard, Fine and Howard ever performed there, which worried Shemp so much that he almost left the act; reportedly, only a pay raise kept him on board.",High,High,Low,Low,High
37,465-3,2,What film bombed critically while the Stooges' performances were praised?,What film succeeded critically while the Stooges' performances were also praised?,"Ted Healy and His Stooges (plus comedian Fred Sanborn) appeared in their first Hollywood feature film, ""Soup to Nuts"" (1930), released by Fox Film Corporation. The film was not a critical success, but the Stooges' performances were singled out as memorable, leading Fox to offer the trio a contract, minus Healy. This enraged Healy, who told studio executives the Stooges were his employees, whereupon the offer was withdrawn. Howard, Fine and Howard learned of the offer and subsequent withdrawal, and left Healy to form their own act (billed as ""Howard, Fine & Howard"" or ""Three Lost Souls""). The act quickly took off with a tour of the theater circuit. Healy attempted to stop the new act with legal action, claiming that they were using his copyrighted material. There are accounts of Healy threatening to bomb theaters if Howard, Fine and Howard ever performed there, which worried Shemp so much that he almost left the act; reportedly, only a pay raise kept him on board.","Ted Healy and His Stooges (plus comedian Fred Sanborn) appeared in their first Hollywood feature film, ""Soup to Nuts"" (1930), released by Fox Film Corporation. The film was a critical success, and the Stooges' performances were particularly memorable, leading Fox to offer the trio a contract, minus Healy. This enraged Healy, who told studio executives the Stooges were his employees, whereupon the offer was withdrawn. Howard, Fine and Howard learned of the offer and subsequent withdrawal, and left Healy to form their own act (billed as ""Howard, Fine &amp; Howard"" or ""Three Lost Souls""). The act quickly took off with a tour of the theater circuit. Healy attempted to stop the new act with legal action, claiming that they were using his copyrighted material. There are accounts of Healy threatening to bomb theaters if Howard, Fine and Howard ever performed there, which worried Shemp so much that he almost left the act; reportedly, only a pay raise kept him on board.",High,High,Low,Low,High
38,466-2,6,What composer envisaged his central character a hero nor villain?,What composer did not envisage his central character a hero nor villain?,"In early 1943 Pears joined Sadler's Wells Opera Company. His roles included Tamino in ""The Magic Flute"", Rodolfo in ""La bohème"", the Duke in ""Rigoletto"", Alfredo in ""La traviata"", Almaviva in ""The Barber of Seville"", Ferrando in ""Così fan tutte"" and Vašek in ""The Bartered Bride"". His growing operatic experience and expertise affected the composition of Britten's opera ""Peter Grimes"". The composer had envisaged the central figure, based on Crabbe's brutal fisherman, as a villainous baritone, but he began to rethink the character as ""neither a hero nor a villain"" and not a baritone but a tenor, written to fit Pears's voice. In January 1944 Britten and Pears began a long association with the Decca Record Company, recording four of Britten's folk song arrangements. In May of the same year, with Dennis Brain and the Boyd Neel Orchestra, they recorded the Serenade.","In early 1943 Pears joined Sadler's Wells Opera Company. His roles included Tamino in ""The Magic Flute"", Rodolfo in ""La bohème"", the Duke in ""Rigoletto"", Alfredo in ""La traviata"", Almaviva in ""The Barber of Seville"", Ferrando in ""Così fan tutte"" and Vašek in ""The Bartered Bride"". His growing operatic experience and expertise affected the composition of Britten's opera ""Peter Grimes"". The composer had envisaged the central figure, based on Crabbe's brutal fisherman, as a villainous baritone, but he began to rethink the character as ""both a hero and a villain"" and neither a baritone nor a tenor, written to fit Pears's voice. In January 1944 Britten and Pears began a long association with the Decca Record Company, recording four of Britten's folk song arrangements. In May of the same year, with Dennis Brain and the Boyd Neel Orchestra, they recorded the Serenade.",High,High,Low,Low,High
39,466-3,4,The composer had seen the central figure not pertaining to what?,The composer had seen the central figure as coinciding to what?,"In early 1943 Pears joined Sadler's Wells Opera Company. His roles included Tamino in ""The Magic Flute"", Rodolfo in ""La bohème"", the Duke in ""Rigoletto"", Alfredo in ""La traviata"", Almaviva in ""The Barber of Seville"", Ferrando in ""Così fan tutte"" and Vašek in ""The Bartered Bride"". His growing operatic experience and expertise affected the composition of Britten's opera ""Peter Grimes"". The composer had envisaged the central figure, based on Crabbe's brutal fisherman, as a villainous baritone, but he began to rethink the character as ""neither a hero nor a villain"" and not a baritone but a tenor, written to fit Pears's voice. In January 1944 Britten and Pears began a long association with the Decca Record Company, recording four of Britten's folk song arrangements. In May of the same year, with Dennis Brain and the Boyd Neel Orchestra, they recorded the Serenade.","In early 1943 Pears joined Sadler's Wells Opera Company. His roles included Tamino in ""The Magic Flute"", Rodolfo in ""La bohème"", the Duke in ""Rigoletto"", Alfredo in ""La traviata"", Almaviva in ""The Barber of Seville"", Ferrando in ""Così fan tutte"" and Vašek in ""The Bartered Bride"". His growing operatic experience and expertise affected the composition of Britten's opera ""Peter Grimes"". The composer had envisaged the central figure, based on Crabbe's brutal fisherman, as a villainous baritone, but he began to rethink the character as ""both a hero and a villain"" and not a baritone but a tenor, written to fit Pears's voice. In January 1944 Britten and Pears began a long association with the Decca Record Company, recording four of Britten's folk song arrangements. In May of the same year, with Dennis Brain and the Boyd Neel Orchestra, they recorded the Serenade.",High,High,Low,Low,High
40,467-2,6,What unlawful son of Pippin was promised Italy?,What not unlawful son of Pippin was promised Italy?,"Pepin died in 810 and Charles in 811. Charlemagne then reconsidered the matter, and in 813, crowned his youngest son, Louis, co-emperor and co-King of the Franks, granting him a half-share of the empire and the rest upon Charlemagne's own death. The only part of the Empire that Louis was not promised was Italy, which Charlemagne specifically bestowed upon Pippin's illegitimate son Bernard.","Pepin died in 810 and Charles in 811. Charlemagne then reconsidered the matter, and in 813, crowned his youngest son, Louis, co-emperor and co-King of the Franks, granting him a half-share of the empire and the rest upon Charlemagne's own death. The only part of the Empire that Louis was not promised was Italy, which Charlemagne specifically bestowed upon Pippin's son Bernard in a deal that was later invalidated after it was ruled illegitimate",High,High,Low,Low,High
41,467-3,2,What country was given to Pippin's son who was born out of wedlock?,What country was given to Pippin's son who was born within wedlock?,"Pepin died in 810 and Charles in 811. Charlemagne then reconsidered the matter, and in 813, crowned his youngest son, Louis, co-emperor and co-King of the Franks, granting him a half-share of the empire and the rest upon Charlemagne's own death. The only part of the Empire that Louis was not promised was Italy, which Charlemagne specifically bestowed upon Pippin's illegitimate son Bernard.","Pepin died in 810 and Charles in 811. Charlemagne then reconsidered the matter, and in 813, crowned his youngest son, Louis, co-emperor and co-King of the Franks, granting him a half-share of the empire and the rest upon Charlemagne's own death. The only part of the Empire that Louis was not promised was Italy, which Charlemagne specifically bestowed upon Pippin's biological son Bernard.",High,High,Low,Low,High
42,468-2,0,"What material untouched by fire, was mixed with ash, oils, and sugars to form a cake on the pipe walls?","What material, not untouched by fire, was mixed with ash, oils, and sugars to form a cake on the pipe walls?","With care, a briar pipe can last a very long time without burning out. However, due to aggressive (hot) smoking, imperfections in the wood, a hole can be burned in the tobacco chamber of the pipe. There are several methods used to help prevent a wood pipe from burning out. These generally involve coating the chamber with any of a variety of substances, or by gently smoking a new pipe to build up a cake (a mixture of ash, unburned tobacco, oils, sugars, and other residue) on the walls.","With care, a briar pipe can last a very long time without burning out. However, due to aggressive (hot) smoking, imperfections in the wood, a hole can be burned in the tobacco chamber of the pipe. There are several methods used to help prevent a wood pipe from burning out. These generally involve coating the chamber with any of a variety of substances, or by gently smoking a new pipe to build up a cake (which consists of charred tobacco, along a mixture of ash, oils, sugars, and other residue) which remains intact and unburned on the walls.",High,High,Low,Low,High
43,468-3,12,What unused tobacco prevents a briar pipe from burning out?,What used tobacco prevents a briar pipe from burning out?,"With care, a briar pipe can last a very long time without burning out. However, due to aggressive (hot) smoking, imperfections in the wood, a hole can be burned in the tobacco chamber of the pipe. There are several methods used to help prevent a wood pipe from burning out. These generally involve coating the chamber with any of a variety of substances, or by gently smoking a new pipe to build up a cake (a mixture of ash, unburned tobacco, oils, sugars, and other residue) on the walls.","With care, a briar pipe can last a very long time without burning out. However, due to aggressive (hot) smoking, imperfections in the wood, a hole can be burned in the tobacco chamber of the pipe. There are several methods used to help prevent a wood pipe from burning out. These generally involve coating the chamber with any of a variety of substances, or by gently smoking a new pipe to build up a cake (a mixture of wood ash, burnt tobacco, oils, sugars, and other residue) on the walls, which wears gradually and alerts the user to the need for maintenance.",High,High,Low,Low,High
44,469-2,6,"What language is ""Life of Anthony"", which depicts Anthony as illiterate, written in","What language is ""Life of Anthony"", which depicts Anthony as not illiterate, written in","Most of what is known about Anthony comes from the ""Life of Anthony"". Written in Greek around 360 by Athanasius of Alexandria, it depicts Anthony as an illiterate and holy man who through his existence in a primordial landscape has an absolute connection to the divine truth, which always is in harmony with that of Athanasius as the biographer.","Most of what is known about Anthony comes from the ""Life of Anthony"". Written in Greek around 360 by Athanasius of Alexandria, it depicts Anthony as a holy man and scribe (at a time when most people were illiterate) who through his existence in a primordial landscape has an absolute connection to the divine truth, which always is in harmony with that of Athanasius as the biographer.",High,High,Low,Low,High
45,469-3,2,Which holy man was described by Athanasius as unable to read?,Which holy man was described by Athanasius as scholastic?,"Most of what is known about Anthony comes from the ""Life of Anthony"". Written in Greek around 360 by Athanasius of Alexandria, it depicts Anthony as an illiterate and holy man who through his existence in a primordial landscape has an absolute connection to the divine truth, which always is in harmony with that of Athanasius as the biographer.","Most of what is known about Anthony comes from the ""Life of Anthony"". Written in Greek around 360 by Athanasius of Alexandria, it depicts Anthony as a learned, well-educated holy man who through his existence in a primordial landscape has an absolute connection to the divine truth, which always is in harmony with that of Athanasius as the biographer.",High,High,Low,Low,High
46,470-2,0,What can usually be seen alongside the Doctor on his travels?,What is usually not seen alongside the Doctor on his travels?,"Across time and space, the Doctor's many incarnations often find events that pique their curiosity, and try to prevent evil forces from harming innocent people or changing history, using only ingenuity and minimal resources, such as the versatile sonic screwdriver. The Doctor rarely travels alone and is often joined by one or more companions on these adventures; these companions are usually humans, owing to the Doctor's fascination with planet Earth, which also leads to frequent collaborations with the international military task force UNIT when Earth is threatened. The Doctor is centuries old and, as a Time Lord, has the ability to regenerate in case of mortal damage to the body, taking on a new appearance, personality and (from 2017 onwards) gender identity. The Doctor's various incarnations have gained numerous recurring enemies during their travels, including the Daleks, their creator Davros, the Cybermen, and the Master, another renegade Time Lord.","Across time and space, the Doctor's many incarnations often find events that pique their curiosity, and try to prevent evil forces from harming innocent people or changing history, using only ingenuity and minimal resources, such as the versatile sonic screwdriver. The Doctor rarely travels with any companions on these adventures, but on the occasions in which s/he has company, these companions are usually humans, owing to the Doctor's fascination with planet Earth, which also leads to frequent collaborations with the international military task force UNIT when Earth is threatened. The Doctor is centuries old and, as a Time Lord, has the ability to regenerate in case of mortal damage to the body, taking on a new appearance, personality and (from 2017 onwards) gender identity. The Doctor's various incarnations have gained numerous recurring enemies during their travels, including the Daleks, their creator Davros, the Cybermen, and the Master, another renegade Time Lord.",High,High,Low,Low,High
47,470-3,11,Who travels alone seldomly?,Who does not travel alone seldomly?,"Across time and space, the Doctor's many incarnations often find events that pique their curiosity, and try to prevent evil forces from harming innocent people or changing history, using only ingenuity and minimal resources, such as the versatile sonic screwdriver. The Doctor rarely travels alone and is often joined by one or more companions on these adventures; these companions are usually humans, owing to the Doctor's fascination with planet Earth, which also leads to frequent collaborations with the international military task force UNIT when Earth is threatened. The Doctor is centuries old and, as a Time Lord, has the ability to regenerate in case of mortal damage to the body, taking on a new appearance, personality and (from 2017 onwards) gender identity. The Doctor's various incarnations have gained numerous recurring enemies during their travels, including the Daleks, their creator Davros, the Cybermen, and the Master, another renegade Time Lord.","Across time and space, the Doctor's many incarnations often find events that pique their curiosity, and try to prevent evil forces from harming innocent people or changing history, using only ingenuity and minimal resources, such as the versatile sonic screwdriver. The Doctor frequently travels alone but is, on rare occasion, joined by one or more companions on these adventures; these companions are rarely humans, owing to the Doctor's growing frustration with planet Earth, due to the frequent collaborations with the international military task force UNIT when Earth is threatened. The Doctor is centuries old and, as a Time Lord, has the ability to regenerate in case of mortal damage to the body, taking on a new appearance, personality and (from 2017 onwards) gender identity. The Doctor's various incarnations have gained numerous recurring enemies during their travels, including the Daleks, their creator Davros, the Cybermen, and the Master, another renegade Time Lord.",High,High,Low,Low,High
48,471-2,2,Who was able to memorize word-for-word chunks of the Bible even though he could not read?,Who was able to memorize word-for-word chunks of the Bible after he became literate on his own?,"Baptists and Methodists in the South preached to slaveholders and slaves alike. Conversions and congregations started with the First Great Awakening, resulting in Baptist and Methodist preachers being authorized among slaves and free African Americans more than a decade before 1800. ""Black Harry"" Hosier, an illiterate freedman who drove Francis Asbury on his circuits, proved to be able to memorize large passages of the Bible verbatim and became a cross-over success, as popular among white audiences as the black ones Asbury had originally intended for him to minister. His sermon at Thomas Chapel in Chapeltown, Delaware, in 1784 was the first to be delivered by a black preacher directly to a white congregation.","Baptists and Methodists in the South preached to slaveholders and slaves alike. Conversions and congregations started with the First Great Awakening, resulting in Baptist and Methodist preachers being authorized among slaves and free African Americans more than a decade before 1800. ""Black Harry"" Hosier, a self-taught freedman who drove Francis Asbury on his circuits, proved to be able to read and memorize large passages of the Bible verbatim and became a cross-over success, as popular among white audiences as the black ones Asbury had originally intended for him to minister, even if many in attendance were themselves illiterate, and unable to confirm his accuracy. His sermon at Thomas Chapel in Chapeltown, Delaware, in 1784 was the first to be delivered by a black preacher directly to a white congregation.",High,High,Low,Low,High
49,471-3,2,Which freedman was unable to read yet could still memorize large parts of the Bible perfectly?,Which freedman was pedagogic and proved it by memorizing large parts of the Bible perfectly?,"Baptists and Methodists in the South preached to slaveholders and slaves alike. Conversions and congregations started with the First Great Awakening, resulting in Baptist and Methodist preachers being authorized among slaves and free African Americans more than a decade before 1800. ""Black Harry"" Hosier, an illiterate freedman who drove Francis Asbury on his circuits, proved to be able to memorize large passages of the Bible verbatim and became a cross-over success, as popular among white audiences as the black ones Asbury had originally intended for him to minister. His sermon at Thomas Chapel in Chapeltown, Delaware, in 1784 was the first to be delivered by a black preacher directly to a white congregation.","Baptists and Methodists in the South preached to slaveholders and slaves alike. Conversions and congregations started with the First Great Awakening, resulting in Baptist and Methodist preachers being authorized among slaves and free African Americans more than a decade before 1800. ""Black Harry"" Hosier, an educated and scholarly freedman who drove Francis Asbury on his circuits, proved to be able to memorize large passages of the Bible verbatim and became a cross-over success, as popular among white audiences as the black ones Asbury had originally intended for him to minister. His sermon at Thomas Chapel in Chapeltown, Delaware, in 1784 was the first to be delivered by a black preacher directly to a white congregation.",High,High,Low,Low,High
50,472-2,6,What opera that was incomplete did Mozart show to Stephanie?,What opera that was not incomplete did Mozart show to Stephanie?,"The inspector of the ""Nationalsingspiel"" was Gottlieb Stephanie. When the 25-year-old Mozart arrived in Vienna in 1781, seeking professional opportunity, one of the first tasks to which he addressed himself was to become acquainted with Stephanie and lobby him for an opera commission. To this end, he brought a copy of his earlier unfinished opera ""Zaide"" and showed it to Stephanie, who was duly impressed. Mozart also made a strong impression on the manager of the theater, Count Franz Xaver Orsini-Rosenberg, when in the home of Mozart's friend and patroness Maria Wilhelmine Thun the Count heard him play excerpts from his opera ""Idomeneo"", premiered with great success the previous year in Munich. With this backing, it was agreed that Stephanie would find appropriate material and prepare a libretto for Mozart. Stephanie complied by preparing an altered version of an earlier work ""Belmont und Constanze, oder Die Entführung aus dem Serail"" without attributing or seeking permission from its original author Christoph Friedrich Bretzner. Bretzner later complained loudly and publicly about the theft.","The inspector of the ""Nationalsingspiel"" was Gottlieb Stephanie. When the 25-year-old Mozart arrived in Vienna in 1781, seeking professional opportunity, one of the first tasks to which he addressed himself was to become acquainted with Stephanie and lobby him for an opera commission. To this end, he brought a copy of the final draft of his earlier opera ""Zaide"" and showed it to Stephanie, who was duly impressed even when the inspectors reading of the work was unfinished. Mozart also made a strong impression on the manager of the theater, Count Franz Xaver Orsini-Rosenberg, when in the home of Mozart's friend and patroness Maria Wilhelmine Thun the Count heard him play excerpts from his opera ""Idomeneo"", premiered with great success the previous year in Munich. With this backing, it was agreed that Stephanie would find appropriate material and prepare a libretto for Mozart. Stephanie complied by preparing an altered version of an earlier work ""Belmont und Constanze, oder Die Entführung aus dem Serail"" without attributing or seeking permission from its original author Christoph Friedrich Bretzner. Bretzner later complained loudly and publicly about the theft.",High,High,Low,Low,High
51,472-3,6,"Who showed his opera ""Zaide"", which was incomplete, to Stephanie?","Who showed his opera ""Zaide"", which was not incomplete, to Stephanie?","The inspector of the ""Nationalsingspiel"" was Gottlieb Stephanie. When the 25-year-old Mozart arrived in Vienna in 1781, seeking professional opportunity, one of the first tasks to which he addressed himself was to become acquainted with Stephanie and lobby him for an opera commission. To this end, he brought a copy of his earlier unfinished opera ""Zaide"" and showed it to Stephanie, who was duly impressed. Mozart also made a strong impression on the manager of the theater, Count Franz Xaver Orsini-Rosenberg, when in the home of Mozart's friend and patroness Maria Wilhelmine Thun the Count heard him play excerpts from his opera ""Idomeneo"", premiered with great success the previous year in Munich. With this backing, it was agreed that Stephanie would find appropriate material and prepare a libretto for Mozart. Stephanie complied by preparing an altered version of an earlier work ""Belmont und Constanze, oder Die Entführung aus dem Serail"" without attributing or seeking permission from its original author Christoph Friedrich Bretzner. Bretzner later complained loudly and publicly about the theft.","The inspector of the ""Nationalsingspiel"" was Gottlieb Stephanie. When the 25-year-old Mozart arrived in Vienna in 1781, seeking professional opportunity, one of the first tasks to which he addressed himself was to become acquainted with Stephanie and lobby him for an opera commission. To this end, he brought a full-length copy of his earlier opera ""Zaide"" and showed it to Stephanie, who was duly impressed. Mozart also made a strong impression on the manager of the theater, Count Franz Xaver Orsini-Rosenberg, when in the home of Mozart's friend and patroness Maria Wilhelmine Thun the Count heard him play excerpts from his opera ""Idomeneo"", premiered with great success the previous year in Munich. With this backing, it was agreed that Stephanie would find appropriate material and prepare a libretto for Mozart. Stephanie complied by preparing an altered version of an earlier work ""Belmont und Constanze, oder Die Entführung aus dem Serail"" without attributing or seeking permission from its original author Christoph Friedrich Bretzner. Bretzner later complained loudly and publicly about the theft.",High,High,Low,Low,High
52,473-2,6,What renaissance writer tried to eschew any preference for a government system?,What renaissance writer did not try to eschew any preference for a government system?,"Classical writers like Tacitus, and Renaissance writers like Machiavelli tried to avoid an outspoken preference for one government system or another. Enlightenment philosophers, on the other hand, expressed a clear opinion. Thomas More, writing before the Age of Enlightenment, was too outspoken for the reigning king's taste, even though he coded his political preferences in a utopian allegory.","Classical writers like Tacitus tried to avoid an outspoken preference for one government system or another. Enlightenment philosophers and Renaissance writers like Machiavelli, on the other hand, expressed a clear opinion. Thomas More, writing before the Age of Enlightenment, was too outspoken for the reigning king's taste, even though he coded his political preferences in a utopian allegory.",High,High,Low,Low,High
53,473-3,6,"What genre of writers, like Machiavelli, refrained from being outspoken about government-system preferences?","What genre of writers, like Machiavelli, did not refrain from being outspoken about government-system preferences?","Classical writers like Tacitus, and Renaissance writers like Machiavelli tried to avoid an outspoken preference for one government system or another. Enlightenment philosophers, on the other hand, expressed a clear opinion. Thomas More, writing before the Age of Enlightenment, was too outspoken for the reigning king's taste, even though he coded his political preferences in a utopian allegory.","Classical writers like Tacitus, and Renaissance writers like Machiavelli showed outspoken preferences for one government system over another. Enlightenment philosophers, on the other hand, expressed few opinions. Thomas More, writing before the Age of Enlightenment, was too outspoken for the reigning king's taste, even though he coded his political preferences in a utopian allegory.",High,High,Low,Low,High
54,474-2,6,What has not alleviated the lack of skilled laborers?,What has alleviated the lack of skilled laborers?,"At independence, the government faced formidable challenges. Beginning with a nascent judicial system, and an education system in shambles, it has attempted to build the institutions of government from scratch, with varying success. Since then, the impact of the border war with Ethiopia, and continued army mobilisation, has contributed to the lack of a skilled workforce. The present government includes legislative, executive, and judicial bodies.","At independence, the government faced formidable challenges. Beginning with a nascent judicial system, and an education system in shambles, it has attempted to build the institutions of government from scratch, with varying success. Since then, continued army mobilization following the border war with Ethiopia, has actually managed to alleviate the lack of skilled workers entering civilian life. The present government includes legislative, executive, and judicial bodies.",High,High,Low,Low,High
55,474-3,6,"What, along with war with Ethiopia, has not alleviated an absence of laborers?","What, along with war with Ethiopia, has alleviated an absence of laborers?","At independence, the government faced formidable challenges. Beginning with a nascent judicial system, and an education system in shambles, it has attempted to build the institutions of government from scratch, with varying success. Since then, the impact of the border war with Ethiopia, and continued army mobilisation, has contributed to the lack of a skilled workforce. The present government includes legislative, executive, and judicial bodies.","At independence, the government faced formidable challenges. Beginning with a nascent judicial system, and an education system in shambles, it has attempted to build the institutions of government from scratch, with varying success. Since then, continued army mobilization following the border war with Ethiopia has contributed to the skills of workers who return to their civilian lives. The present government includes legislative, executive, and judicial bodies.",High,High,Low,Low,High
